model_name,top1_acc,mean_latency,model_size,model_type,peak_ram
lcnet_050.ra2_in1k_224,63.1,6.24,7.19,cnn,6.125
mobilenetv3_small_075.lamb_in1k_224,65.246,8.075,7.8,cnn,6.890625
lcnet_075.ra2_in1k_224,68.818,9.75,9.0,cnn,9.1875
mobilenetv3_small_100.lamb_in1k_224,67.652,9.989,9.71,cnn,6.890625
mobilenetv2_050.lamb_in1k_224,65.942,6.839,7.51,cnn,18.375
mnasnet_small.lamb_in1k_224,66.206,7.263,7.75,cnn,9.1875
lcnet_100.ra2_in1k_224,72.114,13.307,11.27,cnn,12.25
regnetx_002_224,68.762,6.292,10.22,cnn,15.3125
tf_mobilenetv3_small_minimal_100.in1k_224,62.906,147.849,7.86,cnn,7.0147705078125
gernet_s_224,76.916,18.188,31.14,cnn,11.197265625
regnety_002_224,70.252,9.429,12.06,cnn,15.3125
mobilenetv2_100.ra_in1k_224,72.97,15.726,13.34,cnn,36.75
mnasnet_100.rmsp_in1k_224,74.658,21.014,16.67,cnn,18.375
semnasnet_075.rmsp_in1k_224,72.974,14.663,11.09,cnn,36.75
spnasnet_100.rmsp_in1k_224,74.084,21.63,16.82,cnn,18.375
mobilenetv3_large_100.miil_in21k_ft_in1k_224,77.916,22.616,20.91,cnn,24.5
mobilenetv3_rw.rmsp_in1k_224,75.634,22.572,20.9,cnn,24.5
tf_mobilenetv3_small_100.in1k_224,67.922,9.948,9.78,cnn,7.0147705078125
mobilenetv3_large_100.ra_in1k_224,75.766,22.584,20.91,cnn,24.5
tf_mobilenetv3_small_075.in1k_224,65.716,7.973,7.87,cnn,7.0147705078125
hardcorenas_b_224,76.538,21.359,19.74,cnn,18.375
ghostnet_100_224,73.978,11.758,19.82,cnn,21.4375
efficientnet_lite0.ra_in1k_224,75.484,28.272,17.7,cnn,36.75
fbnetc_100.rmsp_in1k_224,75.124,24.228,21.2,cnn,36.75
semnasnet_100.rmsp_in1k_224,75.448,19.378,14.8,cnn,36.75
hardcorenas_a_224,75.916,22.016,20.06,cnn,18.375
hardcorenas_c_224,77.054,23.264,21.05,cnn,18.375
ssl_resnet18_224,72.61,10.513,44.58,cnn,24.5
gluon_resnet18_v1b_224,70.836,10.456,44.58,cnn,24.5
resnet18_224,69.748,10.523,44.58,cnn,40.5
swsl_resnet18_224,73.276,10.463,44.58,cnn,24.5
mobilenetv2_110d.ra_in1k_224,75.036,20.728,17.19,cnn,36.75
resnet18d_224,72.26,11.325,44.66,cnn,40.5
regnetx_004_224,72.396,10.304,19.63,cnn,18.375
mobilenetv2_140.ra_in1k_224,76.516,26.571,23.25,cnn,55.125
legacy_seresnet18_224,71.744,13.468,44.93,cnn,24.5
regnety_004_224,74.034,14.475,16.56,cnn,24.5
hardcorenas_d_224,77.432,32.564,28.61,cnn,18.375
tf_mobilenetv3_large_minimal_100.in1k_224,72.248,8.197,15.01,cnn,24.7197265625
dla46_c_224,64.866,7.467,4.97,cnn,24.5
mobilenetv2_120d.ra_in1k_224,77.284,30.65,22.18,cnn,55.125
hardcorenas_f_224,78.104,33.88,31.26,cnn,18.375
rexnet_100_224,77.858,31.358,18.28,cnn,36.75
hardcorenas_e_224,77.794,36.429,30.77,cnn,18.375
hrnet_w18_small_224,72.342,20.123,50.3,cnn,24.5
dla46x_c_224,65.97,9.954,4.08,cnn,27.5625
efficientnet_es.ra_in1k_224,78.066,35.122,20.67,cnn,36.75
efficientnet_es_pruned.in1k_224,75.0,30.266,20.67,cnn,36.75
ese_vovnet19b_dw_224,76.798,26.564,24.96,cnn,55.6875
dla60x_c_224,67.892,10.512,5.04,cnn,27.5625
efficientnet_b0.ra_in1k_224,77.698,43.743,20.15,cnn,36.75
tf_mobilenetv3_large_075.in1k_224,73.438,16.983,15.3,cnn,24.7197265625
regnetx_006_224,73.852,13.104,23.59,cnn,24.5
resnet26_224,75.292,29.551,60.97,cnn,60.75
gluon_resnet34_v1b_224,74.588,16.911,83.14,cnn,24.5
regnetx_008_224,75.038,17.554,27.64,cnn,30.625
resnet34_224,75.11,16.889,83.14,cnn,40.5
resnet26d_224,76.696,33.517,61.05,cnn,60.75
tf_mobilenetv3_large_100.in1k_224,75.518,22.713,20.97,cnn,24.7197265625
tv_resnet34_224,73.312,16.883,83.14,cnn,24.5
gernet_m_224,80.732,44.976,80.55,cnn,18.375
repvgg_b0_224,75.152,22.785,60.37,cnn,36.75
resnet34d_224,77.116,17.735,83.21,cnn,40.5
rexnet_130_224,79.5,46.202,28.79,cnn,48.234375
regnety_006_224,75.246,17.954,23.08,cnn,24.5
tf_efficientnet_lite0.in1k_224,74.83,29.188,17.77,cnn,37.07958984375
resnest14d_224,75.506,48.101,40.46,cnn,36.75390625
legacy_seresnet34_224,74.808,21.066,83.77,cnn,24.5
rexnet_150_224,80.31,61.888,37.05,cnn,55.125
regnety_008_224,76.316,19.602,23.87,cnn,30.625
tf_efficientnet_es.in1k_224,76.594,35.561,20.74,cnn,36.75
dla34_224,74.63,17.994,60.04,cnn,24.5
ecaresnet50d_pruned_224,79.716,42.796,76.03,cnn,40.5
hrnet_w18_small_v2_224,75.114,29.79,59.53,cnn,36.75
repvgg_a2_224,76.46,30.435,107.63,cnn,36.75
resnetv2_50_224,80.432,61.752,97.59,cnn,60.75
tv_resnet50_224,76.138,46.354,97.41,cnn,36.75
ssl_resnet50_224,79.222,45.969,97.41,cnn,36.75
swsl_resnet50_224,81.166,45.982,97.41,cnn,36.75
tf_efficientnet_b0.ap_in1k_224,77.086,43.643,20.22,cnn,37.07958984375
densenet121_224,75.578,55.235,30.81,cnn,40.5
resnet50_224,80.374,2705.906,97.41,cnn,60.75
regnetx_016_224,76.95,28.136,35.0,cnn,33.6875
tf_efficientnet_b0.ns_jft_in1k_224,78.658,43.748,20.22,cnn,37.07958984375
tf_efficientnet_b0.aa_in1k_224,76.848,43.751,20.22,cnn,37.07958984375
gluon_resnet50_v1c_224,78.012,46.766,97.49,cnn,36.75
resnest26d_224,78.478,66.898,65.08,cnn,36.75390625
resnet50d_224,80.53,49.905,97.49,cnn,60.75
gluon_resnet50_v1d_224,79.074,50.351,97.49,cnn,36.75
gluon_resnet50_v1b_224,77.58,46.31,97.41,cnn,36.75
regnetx_032_224,78.172,41.579,58.26,cnn,42.875
rexnet_200_224,81.632,101.472,62.34,cnn,73.5
gluon_resnet50_v1s_224,78.712,50.946,97.89,cnn,49.0
legacy_seresnext26_32x4d_224,77.104,62.815,64.0,cnn,36.75390625
ecaresnet101d_pruned_224,80.818,47.4,94.88,cnn,40.5
seresnext26d_32x4d_224,77.602,64.016,64.07,cnn,60.75390625
seresnext26t_32x4d_224,77.986,64.089,64.06,cnn,60.75390625
densenetblur121d_224,76.588,58.041,30.89,cnn,41.06640625
ese_vovnet39b_224,79.32,57.526,93.72,cnn,81.0
resnet50_gn_224,80.052,951.088,97.6,cnn,60.75
resnetblur50_224,79.286,48.969,97.46,cnn,60.75
regnetx_040_224,78.482,64.095,84.26,cnn,36.75
tresnet_m_224,83.08,47.154,119.72,cnn,14.2265625
regnety_016_224,77.862,32.12,42.69,cnn,24.5
coatnext_nano_rw_224_224,81.948,325.866,62.92,transformer,27.5625
densenet169_224,75.906,73.34,54.68,cnn,24.5
ecaresnetlight_224,80.462,67.901,114.99,cnn,65.8125
dla60_224,77.032,2946.328,84.02,cnn,30.625
coatnet_nano_rw_224_224,81.7,240.045,64.58,transformer,27.56640625
legacy_seresnet50_224,77.63,71.472,107.09,cnn,36.75390625
repvgg_b1g4_224,77.594,55.288,152.48,cnn,36.75
resnext50d_32x4d_224,79.676,4885.443,95.45,cnn,60.75
tv_resnext50_32x4d_224,77.62,68.75,95.37,cnn,36.75
ecaresnet50d_224,80.592,75.135,97.51,cnn,81.0
seresnet50_224,80.274,74.032,107.09,cnn,60.75390625
gluon_resnext50_32x4d_224,79.354,69.598,95.37,cnn,36.75
ssl_resnext50_32x4d_224,80.318,66.143,95.37,cnn,36.75
swsl_resnext50_32x4d_224,82.182,65.99,95.37,cnn,36.75
resnest50d_1s4x24d_224,80.988,72.792,97.87,cnn,36.75
hrnet_w18_224,76.758,43.561,81.35,cnn,36.75
regnetx_064_224,79.072,100.779,99.86,cnn,70.4375
dpn68_224,76.318,57.473,48.2,cnn,26.03125
resnext50_32x4d_224,81.118,70.488,95.37,cnn,60.75
dpn68b_224,79.216,57.582,48.17,cnn,43.03125
resnest50d_224,80.974,96.889,104.79,cnn,36.75390625
densenet201_224,77.286,114.574,77.36,cnn,24.5
resnetv2_101_224,82.03,99.899,170.18,cnn,60.75
dla60x_224,78.246,65.292,66.12,cnn,55.125
resnet101_224,81.938,73.252,169.79,cnn,60.75
tv_resnet101_224,77.374,72.593,169.79,cnn,36.75
gluon_resnet101_v1c_224,79.534,74.177,169.86,cnn,36.75
gluon_resnet101_v1b_224,79.306,73.761,169.79,cnn,36.75
gluon_resnet101_v1d_224,80.414,77.253,169.86,cnn,36.75
coatnet_bn_0_rw_224_224,82.398,334.393,116.39,transformer,102.59375
gluon_resnet101_v1s_224,80.302,77.59,170.26,cnn,49.0
resnest50d_4s2x40d_224,81.108,104.262,115.92,cnn,42.8798828125
regnetx_080_224,79.194,90.335,150.81,cnn,36.75
regnetx_080_224,79.194,92.7,150.81,cnn,36.75
repvgg_b1_224,78.366,67.084,219.04,cnn,36.75
coatnet_0_rw_224_224,82.39,372.84,116.36,transformer,41.349609375
gluon_seresnext50_32x4d_224,79.918,100.073,105.04,cnn,36.75390625
dla102_224,78.032,72.282,126.84,cnn,30.625
hrnet_w32_224,78.45,66.26,157.35,cnn,36.75
hrnet_w30_224,78.206,67.604,143.93,cnn,36.75
tresnet_v2_l_224,83.902,80.215,175.58,cnn,36.75
seresnext50_32x4d_224,81.266,99.861,105.04,cnn,60.75390625
legacy_seresnext50_32x4d_224,79.078,99.551,105.05,cnn,36.75390625
wide_resnet50_2_224,81.456,97.937,262.66,cnn,60.75
maxvit_tiny_rw_224_224,83.504,878.793,112.69,transformer,101.0625
densenet161_224,77.358,145.27,110.28,cnn,36.75
vgg11_224,69.024,36.873,506.84,cnn,98.0
tresnet_l_224,81.488,91.058,213.52,cnn,16.89404296875
vgg11_bn_224,70.36,32.829,506.84,cnn,98.0
repvgg_b2g4_224,79.366,79.986,235.6,cnn,36.75
legacy_seresnet101_224,78.382,108.15,188.06,cnn,36.75390625
gluon_resnet152_v1b_224,79.686,100.871,229.4,cnn,36.75
tv_resnet152_224,78.312,99.991,229.4,cnn,36.75
gluon_resnet152_v1d_224,80.474,104.559,229.47,cnn,36.75
resnet152_224,82.822,100.351,229.4,cnn,60.75
gluon_resnet152_v1c_224,79.91,101.442,229.47,cnn,36.75
vgg13_224,69.926,36.189,507.54,cnn,98.0
regnetx_120_224,79.596,168.866,175.72,cnn,91.875
vgg13_bn_224,71.594,2164.509,507.54,cnn,98.0
dla102x_224,78.51,96.045,100.25,cnn,55.125
ecaresnet101d_224,82.172,111.003,169.91,cnn,81.0
gluon_resnet152_v1s_224,81.016,105.3,229.87,cnn,49.0
dpn92_224,80.008,140.724,144.02,cnn,50.53125
dla169_224,78.688,117.226,203.56,cnn,30.625
hrnet_w40_224,78.92,85.72,219.6,cnn,36.75
gluon_resnext101_32x4d_224,80.334,116.775,168.31,cnn,36.75
vgg16_224,71.594,44.998,527.8,cnn,98.0
ssl_resnext101_32x4d_224,80.924,95.033,168.31,cnn,36.75
vgg16_bn_224,73.35,46.99,527.8,cnn,98.0
coatnet_1_rw_224_224,83.608,708.95,183.06,transformer,102.59375
skresnext50_32x4d_224,80.156,155.466,104.74,cnn,36.75390625
regnetx_160_224,79.856,181.393,206.87,cnn,104.125
repvgg_b3g4_224,80.212,106.522,319.78,cnn,36.75
tresnet_xl_224,82.054,126.881,299.11,cnn,18.4500732421875
hrnet_w44_224,78.896,93.649,255.85,cnn,36.75
swsl_resnext101_32x4d_224,83.23,97.283,168.31,cnn,36.75
vgg19_bn_224,74.214,50.415,548.06,cnn,98.0
vgg19_224,72.368,55.124,548.06,cnn,98.0
regnety_120_224,80.366,178.539,197.55,cnn,151.875
hrnet_w48_224,79.3,99.711,295.53,cnn,36.75
repvgg_b2_224,78.792,91.285,339.61,cnn,36.75
dla102x2_224,79.448,176.263,157.27,cnn,104.125
legacy_seresnet152_224,78.66,146.197,254.75,cnn,36.75390625
legacy_seresnext101_32x4d_224,80.228,155.883,186.58,cnn,36.75390625
wide_resnet101_2_224,78.856,130.669,483.82,cnn,36.75
gluon_seresnext101_32x4d_224,80.904,156.674,186.57,cnn,36.75390625
ig_resnext101_32x8d_224,82.688,254.085,338.37,cnn,61.25
resnext101_32x8d_224,79.308,240.781,338.37,cnn,61.25
ssl_resnext101_32x8d_224,81.616,209.123,338.37,cnn,61.25
ig_resnext101_32x48d_224,85.428,254.175,338.37,cnn,61.25
swsl_resnext101_32x8d_224,84.284,208.902,338.37,cnn,61.25
ig_resnext101_32x16d_224,84.17,254.777,338.37,cnn,61.25
ig_resnext101_32x32d_224,85.094,254.18,338.37,cnn,61.25
gluon_resnext101_64x4d_224,80.604,246.852,318.02,cnn,61.25
repvgg_b3_224,80.492,123.819,469.55,cnn,36.75
dpn98_224,79.642,218.198,235.17,cnn,50.53125
hrnet_w64_224,79.474,159.889,488.47,cnn,36.75
gluon_seresnext101_64x4d_224,80.894,283.994,336.28,cnn,61.25
regnetx_320_224,80.246,411.999,410.99,cnn,134.75
dpn107_224,80.156,342.212,331.92,cnn,53.9765625
dpn131_224,79.822,284.957,302.76,cnn,50.53125
regnety_320_224,80.81,396.545,553.05,cnn,94.9375
ssl_resnext101_32x16d_224,81.844,630.031,739.56,cnn,110.25
swsl_resnext101_32x16d_224,83.346,631.827,739.56,cnn,110.25
legacy_senet154_224,81.31,311.095,438.7,cnn,49.0
gluon_senet154_224,81.234,311.075,438.69,cnn,49.0
tresnet_xl_448_448,83.05,436.07,299.11,cnn,72.6351318359375
tf_efficientnet_b5.ra_in1k_456,83.812,672.689,115.8,cnn,229.449462890625
tf_efficientnet_b5.ap_in1k_456,84.252,673.433,115.8,cnn,229.449462890625
tf_efficientnet_b5.ns_jft_in1k_456,86.088,672.583,115.8,cnn,229.449462890625
tf_efficientnet_b6.ns_jft_in1k_528,86.452,1824.572,163.98,cnn,409.9248046875
tf_efficientnet_b6.aa_in1k_528,84.11,1827.97,163.98,cnn,409.9248046875
tf_efficientnet_b6.ap_in1k_528,84.788,1824.675,163.98,cnn,409.9248046875
